Biome,Region,Region_Plot,X,Y,PlotSize,BA_ha,fc500,fc1000,fc2000,e_dens500,e_dens1000,e_dens2000,nfrag500,nfrag1000,nfrag2000,lnFL500,lnFL1000,lnFL2000,lnNfrag500,lnNfrag1000,lnNfrag2000,ln_edg500,ln_edg1000,ln_edg2000,CWD,TS,MAP
Amazonia,Balbina,Balbina_1,-59.75907157,-1.717884154,0.25,24.70389662,0.011950718,0.118376663,0.287281424,0.01,0.1,0.2,2,6,14,-0.012022702,-0.12599037,-0.338668641,0.693147181,1.791759469,2.63905733,-3.912023005,-2.207274913,-1.560647748,-41.66667,49.70367,2391
Amazonia,Balbina,Balbina_10,-59.57190513,-1.516023285,0.25,37.58522852,0.974005031,0.987025801,0.928888767,0.06,0.02,0.12,1,1,2,-3.64985226,-4.344792586,-2.643509966,0,0,0.693147181,-2.659260037,-3.506557897,-2.040220829,-87.33334,49.70174,2385
Amazonia,Balbina,Balbina_11,-59.59609954,-1.836578447,0.25,17.93737246,0.073666922,0.032204715,0.064423931,0.07,0.03,0.06,1,3,5,-0.076521414,-0.032734697,-0.066592823,0,1.098612289,1.609437912,-2.525728644,-3.218875825,-2.659260037,-53.625,53.80239,2342
Amazonia,Balbina,Balbina_12,-59.83634926,-1.588078761,0.25,32.02551312,0.460953901,0.512527326,0.470791726,0.34,0.36,0.34,4,8,22,-0.617954185,-0.718521043,-0.636373212,1.386294361,2.079441542,3.091042453,-1.049822124,-0.994252273,-1.049822124,-35.66667,48.43576,2366
Amazonia,Balbina,Balbina_13,-59.67815499,-1.761189654,0.25,32.52445912,0.243501595,0.135294049,0.191763838,0.23,0.13,0.16,3,8,26,-0.279054854,-0.145365771,-0.212900983,1.098612289,2.079441542,3.258096538,-1.427116356,-1.966112856,-1.771956842,-50.66667,51.01062,2327
Amazonia,Balbina,Balbina_15,-59.78715487,-1.486912216,0.25,44.27265922,0.456984947,0.52948753,0.596616289,0.36,0.39,0.33,3,4,8,-0.610618238,-0.753932817,-0.907867034,1.098612289,1.386294361,2.079441542,-0.994252273,-0.916290732,-1.078809661,-62.33334,49.74747,2372
Amazonia,Balbina,Balbina_17,-59.44826638,-1.788189612,0.25,18.9922115,0.365558287,0.316236223,0.278073952,0.32,0.28,0.22,6,10,20,-0.455009859,-0.380142776,-0.325832572,1.791759469,2.302585093,2.995732274,-1.108662625,-1.237874356,-1.46967597,-109.33334,53.54835,2347
Amazonia,Balbina,Balbina_2,-59.82884927,-1.522662174,0.25,14.76698354,0.036765986,0.150990841,0.12753158,0.04,0.13,0.09,2,3,8,-0.037458892,-0.163685305,-0.13642882,0.693147181,1.098612289,2.079441542,-2.995732274,-1.966112856,-2.302585093,-52.33334,49.93177,2349
Amazonia,Balbina,Balbina_20,-59.78912709,-1.507689969,0.25,37.9391128,0.355295242,0.443208573,0.382090731,0.33,0.35,0.29,4,7,17,-0.438962807,-0.585564567,-0.481413646,1.386294361,1.945910149,2.833213344,-1.078809661,-1.021651248,-1.203972804,-57.33334,50.69779,2372
Amazonia,Balbina,Balbina_22,-59.35418316,-1.840245099,0.25,32.23171064,0.506282415,0.280417602,0.291072718,0.42,0.24,0.23,3,12,28,-0.705791616,-0.329084238,-0.344002322,1.098612289,2.48490665,3.33220451,-0.84397007,-1.386294361,-1.427116356,-121.29167,53.35701,2334
Amazonia,Balbina,Balbina_23,-59.82226594,-1.505328862,0.25,15.84329704,0.363190674,0.263551775,0.14499574,0.28,0.19,0.12,2,4,14,-0.451284999,-0.305916344,-0.156648828,0.693147181,1.386294361,2.63905733,-1.237874356,-1.609437912,-2.040220829,-52.33334,49.7646,2359
Amazonia,Balbina,Balbina_26,-59.66307168,-1.873383959,0.25,23.43116042,0.239335576,0.214442921,0.244982484,0.24,0.21,0.19,6,10,23,-0.273562986,-0.241362158,-0.28101433,1.791759469,2.302585093,3.135494216,-1.386294361,-1.514127733,-1.609437912,-47.625,50.33221,2398
Amazonia,Balbina,Balbina_28,-59.64801614,-1.675800869,0.25,30.25836508,0.475053382,0.208497796,0.113174226,0.29,0.13,0.07,1,1,3,-0.644458702,-0.233822615,-0.120106738,0,0,1.098612289,-1.203972804,-1.966112856,-2.525728644,-52.54167,52.43323,2331
Amazonia,Balbina,Balbina_29,-59.6116273,-1.697411952,0.25,25.16706546,0.405063714,0.381911302,0.362134106,0.31,0.31,0.26,3,7,21,-0.519300962,-0.481123308,-0.449627215,1.098612289,1.945910149,3.044522438,-1.139434283,-1.139434283,-1.30933332,-63.33334,51.30127,2359
Amazonia,Balbina,Balbina_3,-59.42137752,-1.833328444,0.25,23.73073526,0.063465379,0.035311565,0.055794255,0.06,0.04,0.06,2,5,17,-0.065568789,-0.035950095,-0.057411186,0.693147181,1.609437912,2.833213344,-2.659260037,-2.995732274,-2.659260037,-111.33334,54.72384,2249
Amazonia,Balbina,Balbina_38,-59.78654376,-1.70416195,0.25,31.24427484,0.590518164,0.538712027,0.424563796,0.25,0.27,0.24,1,3,14,-0.892862733,-0.773732761,-0.55262691,0,1.098612289,2.63905733,-1.347073648,-1.272965676,-1.386294361,-41.66667,48.75728,2403
Amazonia,Balbina,Balbina_4,-59.83612703,-1.469328906,0.25,28.53541254,0.36411654,0.274631643,0.302861263,0.25,0.18,0.22,3,5,12,-0.452739971,-0.321075675,-0.360770839,1.098612289,1.609437912,2.48490665,-1.347073648,-1.660731207,-1.46967597,-52.33334,48.52952,2370
Amazonia,Balbina,Balbina_41,-59.39259979,-1.741217445,0.25,23.98399824,0.300515973,0.440299899,0.464141601,0.3,0.28,0.25,2,4,19,-0.35741232,-0.580354173,-0.623885334,0.693147181,1.386294361,2.944438979,-1.171182982,-1.237874356,-1.347073648,-112.33334,51.21814,2372
Amazonia,Balbina,Balbina_43,-59.75246048,-1.394940106,0.25,34.32337454,0.238604966,0.322392912,0.264109111,0.18,0.25,0.22,3,10,29,-0.272602957,-0.389187675,-0.30667342,1.098612289,2.302585093,3.36729583,-1.660731207,-1.347073648,-1.46967597,-74.33334,49.74747,2309
Amazonia,Balbina,Balbina_44,-59.76343268,-1.626662044,0.25,36.44034684,0.668818353,0.612997404,0.589966276,0.43,0.4,0.38,1,4,14,-1.105088272,-0.949323878,-0.891515869,0,1.386294361,2.63905733,-0.820980552,-0.891598119,-0.94160854,-41.66667,48.51583,2370
Amazonia,Balbina,Balbina_47,-59.44759973,-1.601078732,0.25,22.59721096,0.542363176,0.403060366,0.529910575,0.34,0.26,0.3,1,3,4,-0.78167937,-0.515939286,-0.754832336,0,1.098612289,1.386294361,-1.049822124,-1.30933332,-1.171182982,-108.33334,49.48981,2338
Amazonia,Balbina,Balbina_5,-59.87201588,-1.585134321,0.25,48.86305662,0.159118815,0.381397093,0.406910001,0.15,0.32,0.3,4,8,30,-0.173304907,-0.480291719,-0.522409123,1.386294361,2.079441542,3.401197382,-1.832581464,-1.108662625,-1.171182982,-35.66667,48.89692,2377
Amazonia,Balbina,Balbina_50,-59.71373829,-1.67149532,0.25,29.47968276,0.867181299,0.679745243,0.650277469,0.34,0.34,0.34,1,3,9,-2.018770231,-1.138638484,-1.050615207,0,1.098612289,2.197224577,-1.049822124,-1.049822124,-1.049822124,-45.66667,49.25967,2361
Amazonia,Balbina,Balbina_53,-59.73962714,-1.748245227,0.25,26.99078688,0.65124287,0.53388447,0.445436885,0.35,0.31,0.28,1,4,12,-1.053379502,-0.763321757,-0.589574655,0,1.386294361,2.48490665,-1.021651248,-1.139434283,-1.237874356,-45.66667,50.63798,2381
Amazonia,Balbina,Balbina_57,-59.70582163,-1.739050793,0.25,24.31428542,0.910762822,0.732070712,0.615644737,0.35,0.4,0.36,1,2,4,-2.416457533,-1.317032184,-0.95618799,0,0.693147181,1.386294361,-1.021651248,-0.891598119,-0.994252273,-52.54167,50.09081,2378
Amazonia,Balbina,Balbina_6,-59.61082175,-1.500328861,0.25,33.50007596,0.614455242,0.571871687,0.446900316,0.55,0.45,0.36,3,10,29,-0.953097989,-0.848332332,-0.592217033,1.098612289,2.302585093,3.36729583,-0.579818495,-0.776528789,-0.994252273,-78.33334,49.07478,2362
Amazonia,Balbina,Balbina_63,-59.84757146,-1.644995357,0.25,24.5813173,0.648762952,0.48529316,0.455662792,0.35,0.28,0.27,2,6,20,-1.046293933,-0.664157783,-0.608186357,0.693147181,1.791759469,2.995732274,-1.021651248,-1.237874356,-1.272965676,-33.66667,48.94917,2406
Amazonia,Balbina,Balbina_67,-59.87515477,-1.499412204,0.25,26.34343192,0.679758969,0.629235362,0.590361526,0.45,0.38,0.31,2,3,12,-1.138681345,-0.992187817,-0.892480279,0.693147181,1.098612289,2.48490665,-0.776528789,-0.94160854,-1.139434283,-48.33334,48.21628,2367
Amazonia,Balbina,Balbina_69,-59.51748853,-1.781272956,0.25,24.63529704,0.964737309,0.812400293,0.588735746,0.15,0.31,0.29,1,1,8,-3.344929786,-1.673444804,-0.888519317,0,0,2.079441542,-1.832581464,-1.139434283,-1.203972804,-89.33334,51.92323,2369
Amazonia,Balbina,Balbina_7,-59.69259943,-1.775384081,0.25,21.55223152,0.137093217,0.313426882,0.3252765,0.12,0.25,0.27,3,12,35,-0.147448609,-0.376042551,-0.393452302,1.098612289,2.48490665,3.555348061,-2.040220829,-1.347073648,-1.272965676,-50.66667,49.65603,2367
Amazonia,Balbina,Balbina_72,-59.6254884,-1.61938427,0.25,30.5265933,0.89916168,0.602738995,0.521071134,0.28,0.31,0.26,2,4,19,-2.294236837,-0.923161771,-0.736203198,0.693147181,1.386294361,2.944438979,-1.237874356,-1.139434283,-1.30933332,-61.33334,52.02527,2374
Amazonia,Balbina,Balbina_76,-59.72326605,-1.85407843,0.25,31.92175182,0.980206596,0.988197112,0.967620885,0,0,0.04,1,1,1,-3.922406528,-4.439411032,-3.430241663,0,0,0,-4.605170186,-4.605170186,-2.995732274,-40.625,48.75726,2401
Amazonia,Balbina,Balbina_78,-59.73612714,-1.85482843,0.25,35.11083944,0.979843783,0.988290108,0.991932053,0,0,0,1,1,1,-3.904242502,-4.447321324,-4.819856228,0,0,0,-4.605170186,-4.605170186,-4.605170186,-40.625,47.35422,2414
Amazonia,Balbina,Balbina_8,-59.6323495,-1.830078456,0.25,39.1333647,0.043070623,0.016150389,0.041205205,0.04,0.02,0.04,1,4,15,-0.044025686,-0.016282228,-0.042078205,0,1.386294361,2.708050201,-2.995732274,-3.506557897,-2.995732274,-50.66667,53.2344,2302
Amazonia,Balbina,Balbina_81,-59.89498808,-1.428162292,0.25,30.75181608,0.981991232,0.971075592,0.86056746,0,0.07,0.15,1,1,6,-4.016896529,-3.543069473,-1.970174379,0,0,1.791759469,-4.605170186,-2.525728644,-1.832581464,-55.33334,46.12852,2374
Amazonia,Balbina,Balbina_84,-59.2466833,-1.819495121,0.25,32.55373648,0.98141927,0.988950111,0.992138808,0,0,0,1,1,1,-3.985630257,-4.505334896,-4.84581703,0,0,0,-4.605170186,-4.605170186,-4.605170186,-131.33334,50.81718,2342
Amazonia,Balbina,Balbina_9,-59.36401649,-1.765800748,0.25,37.45330142,0.103430968,0.164975487,0.318457633,0.11,0.14,0.16,3,7,15,-0.109179987,-0.180294198,-0.383396862,1.098612289,1.945910149,2.708050201,-2.120263536,-1.897119985,-1.771956842,-123.33334,52.67827,2350
Natlantic,PB,PB_Bica,-34.87408596,-7.111737162,0.1,31.13198708,0.20796412,0.090508283,0.029195556,0.21,0.09,0.03,6,16,44,-0.233148585,-0.094869388,-0.029630227,1.791759469,2.772588722,3.784189634,-1.514127733,-2.302585093,-3.218875825,-498.29167,88.37763,1957
Natlantic,PB,PB_Cuia,-34.85930548,-7.191895445,0.1,18.31111926,0.314971319,0.127671624,0.087761914,0.29,0.12,0.09,2,13,29,-0.378294572,-0.136589348,-0.091854264,0.693147181,2.564949357,3.36729583,-1.203972804,-2.040220829,-2.302585093,-474.29167,94.52833,1903
Natlantic,PB,PB_ER2,-35.12994742,-7.019723765,0.1,17.83160843,0.594759117,0.553091394,0.408973193,0.29,0.23,0.17,3,7,23,-0.903273616,-0.805401166,-0.525893904,1.098612289,1.945910149,3.135494216,-1.203972804,-1.427116356,-1.714798428,-634.75001,109.85788,1380
Natlantic,PB,PB_Flona,-34.85324118,-7.06413298,0.1,28.66567711,0.642156681,0.18183407,0.048617877,0.36,0.11,0.03,1,9,13,-1.027660045,-0.200690115,-0.049839485,0,2.197224577,2.564949357,-0.994252273,-2.120263536,-3.218875825,-506.29167,89.36221,1837
Natlantic,PB,PB_Gargau,-34.95780795,-7.019663978,0.1,33.97574438,0.983035583,0.988688038,0.806097527,0,0,0.08,1,1,1,-4.076637246,-4.481894529,-1.640399963,0,0,0,-4.605170186,-4.605170186,-2.407945609,-546.29167,97.727,1669
Natlantic,PB,PB_HortoCV,-34.82565065,-7.175314694,0.1,4.47581577,0.379068014,0.201903058,0.226957621,0.32,0.17,0.18,2,3,24,-0.476533726,-0.225525208,-0.257421408,0.693147181,1.098612289,3.17805383,-1.108662625,-1.714798428,-1.660731207,NA,92.49898,1963
Natlantic,PB,PB_JBBM,-34.86177423,-7.145606345,0.1,43.16537339,0.981292085,0.948320365,0.432422499,0.02,0.12,0.13,1,1,19,-3.978808583,-2.962691482,-0.566377973,0,0,2.944438979,-3.506557897,-2.040220829,-1.966112856,-485.29167,91.49847,1902
Natlantic,PB,PB_MFC1,-35.13687741,-6.989583815,0.03,39.24328857,0.842548091,0.432381635,0.188464145,0.27,0.25,0.13,2,9,50,-1.848635207,-0.566305979,-0.208826709,0.693147181,2.197224577,3.912023005,-1.272965676,-1.347073648,-1.966112856,-652.91668,110.51531,1315
Natlantic,PB,PB_MFC10,-35.10416745,-7.065373689,0.03,51.45408697,0.797252285,0.531731392,0.368903808,0.24,0.23,0.17,1,1,9,-1.595792856,-0.758713199,-0.460296984,0,0,2.197224577,-1.386294361,-1.427116356,-1.714798428,-619.75001,106.97191,1364
Natlantic,PB,PB_MFC11,-35.09886746,-7.073903674,0.03,75.55969163,0.391310094,0.369147775,0.324720945,0.27,0.24,0.17,1,2,7,-0.496446327,-0.460683636,-0.392629259,0,0.693147181,1.945910149,-1.272965676,-1.386294361,-1.714798428,-619.75001,106.06247,1368
Natlantic,PB,PB_MFC24,-35.08805748,-7.006013785,0.03,58.4116217,0.949527129,0.883626204,0.801504419,0.14,0.13,0.16,1,1,6,-2.986319295,-2.150947889,-1.616988441,0,0,1.791759469,-1.897119985,-1.966112856,-1.771956842,-611.75001,105.4311,1432
Natlantic,PB,PB_MFC25,-35.09408747,-7.073753674,0.03,25.35562687,0.42101707,0.391695472,0.351648204,0.35,0.3,0.19,1,3,6,-0.546482284,-0.497079654,-0.433321835,0,1.098612289,1.791759469,-1.021651248,-1.171182982,-1.609437912,-619.75001,106.06247,1368
Natlantic,PB,PB_MFC50,-35.09851747,-7.02157376,0.03,47.8622599,0.573351011,0.601198214,0.689069929,0.17,0.14,0.15,1,4,6,-0.851793644,-0.919290762,-1.168187244,0,1.386294361,1.791759469,-1.714798428,-1.897119985,-1.832581464,-611.75001,105.21534,1417
Natlantic,PB,PB_MFC6,-35.10433746,-7.008833782,0.03,51.46635343,0.976585202,0.924290626,0.742284491,0.08,0.14,0.18,1,2,10,-3.754387063,-2.580853295,-1.355898981,0,0.693147181,2.302585093,-2.407945609,-1.897119985,-1.660731207,-611.75001,107.2027,1413
NAtlantic,PB,PB_MRN11,-35.09933747,-7.030153746,0.03,77.9267516,0.304028511,0.285298613,0.594371681,0.27,0.23,0.22,3,4,12,-0.362446584,-0.335890464,-0.902318009,1.098612289,1.386294361,2.48490665,-1.272965676,-1.427116356,-1.46967597,-611.75001,104.73905,1414
Natlantic,PB,PB_UFPB,-34.84345707,-7.138253057,0.1,32.68540143,0.521542569,0.356807098,0.267486191,0.45,0.29,0.16,5,8,26,-0.737188035,-0.441310597,-0.311273086,1.609437912,2.079441542,3.258096538,-0.776528789,-1.203972804,-1.771956842,-485.29167,90.0284,1926
Natlantic,PB,PB_XemXem,-34.93307787,-7.154555101,0.1,20.69860932,0.925110855,0.468730185,0.209692832,0.29,0.22,0.14,1,1,8,-2.591746326,-0.632485261,-0.235333589,0,0,2.079441542,-1.203972804,-1.46967597,-1.897119985,-529.29167,98.30381,1760
Amazonia,PGM,PGM_100_3,-47.84636163,-2.750428746,0.25,10.89339476,0.591056404,0.451777867,0.599939004,0.52,0.38,0.39,10,28,81,-0.89417804,-0.601074722,-0.916138253,2.302585093,3.33220451,4.394449155,-0.634878272,-0.94160854,-0.916290732,-381.33334,40.34652,2075
Amazonia,PGM,PGM_100_5,-47.86831917,-2.762242213,0.25,16.97338932,0.709184725,0.808434367,0.62831516,0.18,0.19,0.34,1,3,50,-1.235067007,-1.652524798,-0.989708988,0,1.098612289,3.912023005,-1.660731207,-1.609437912,-1.049822124,-381.33334,39.04156,2077
Amazonia,PGM,PGM_100_6,-47.87746645,-2.730709527,0.25,18.1789515,0.611088901,0.523770567,0.532429766,0.4,0.42,0.41,4,17,67,-0.944404499,-0.741855539,-0.760205708,1.386294361,2.833213344,4.204692619,-0.891598119,-0.84397007,-0.867500568,-367.33334,40.3019,2083
Amazonia,PGM,PGM_100_9,-47.86408336,-2.743967766,0.25,2.71207766,0.451222223,0.525068219,0.539219533,0.38,0.34,0.31,5,26,71,-0.600061697,-0.744584104,-0.77483356,1.609437912,3.258096538,4.262679877,-0.94160854,-1.049822124,-1.139434283,-370.33334,40.92446,2079
Amazonia,PGM,PGM_142_1,-47.63371453,-2.932839874,0.25,12.57033374,0.978192823,0.888870704,0.698764474,0,0.05,0.1,1,1,11,-3.825516143,-2.197060927,-1.199862842,0,0,2.397895273,-4.605170186,-2.813410717,-2.207274913,-450.41666,42.1577,1988
Amazonia,PGM,PGM_142_12,-47.65001224,-2.921466315,0.25,18.21736626,0.599196508,0.404822588,0.453668935,0.21,0.13,0.1,1,2,6,-0.914284017,-0.518895746,-0.604530141,0,0.693147181,1.791759469,-1.514127733,-1.966112856,-2.207274913,-450.41666,42.73777,1998
Amazonia,PGM,PGM_142_3,-47.66514477,-2.932548436,0.25,18.7215906,0.473930225,0.132690734,0.156245564,0.31,0.09,0.07,1,2,6,-0.642321423,-0.142359658,-0.169893779,0,0.693147181,1.791759469,-1.139434283,-2.302585093,-2.525728644,-450.41666,41.68787,2022
Amazonia,PGM,PGM_142_4,-47.6747351,-2.912676975,0.25,20.51137804,0.903177637,0.735638992,0.583071816,0.11,0.11,0.09,1,5,10,-2.334877289,-1.330439655,-0.874841293,0,1.609437912,2.302585093,-2.120263536,-2.120263536,-2.302585093,-433.37499,41.76959,2002
Amazonia,PGM,PGM_142_5,-47.632228,-2.922962848,0.25,25.58280146,0.984677387,0.931353278,0.736261186,0,0.08,0.12,1,1,4,-4.178425568,-2.678781897,-1.332796006,0,0,1.386294361,-4.605170186,-2.407945609,-2.040220829,-450.41666,41.34115,1994
Amazonia,PGM,PGM_142_6,-47.69270751,-2.899103956,0.25,14.25016152,0.845347988,0.665697233,0.545223972,0.28,0.17,0.14,5,8,19,-1.86657777,-1.095708209,-0.787950227,1.609437912,2.079441542,2.944438979,-1.237874356,-1.714798428,-1.897119985,-433.37499,41.62196,2005
Amazonia,PGM,PGM_147_1,-47.18372667,-2.947926459,0.25,15.68946216,0.982107905,0.988484289,0.849373942,0,0.01,0.05,1,1,1,-4.023396284,-4.464043002,-1.892954951,0,0,0,-4.605170186,-3.912023005,-2.813410717,-461.16666,42.02046,1934
Amazonia,PGM,PGM_147_11,-47.20058778,-2.909880809,0.25,20.26213112,0.765101908,0.693141141,0.773727521,0.13,0.08,0.1,1,3,7,-1.44860351,-1.18136738,-1.486015347,0,1.098612289,1.945910149,-1.966112856,-2.407945609,-2.207274913,-447.16666,41.25631,1945
Amazonia,PGM,PGM_147_2,-47.15518334,-2.948694217,0.25,18.6652904,0.724342628,0.756530814,0.859827652,0.12,0.11,0.06,1,1,1,-1.28859659,-1.412764891,-1.964882556,0,0,0,-2.040220829,-2.120263536,-2.659260037,-455.16666,39.1094,1925
Amazonia,PGM,PGM_147_3,-47.15650866,-2.914919214,0.25,16.47599448,0.981753153,0.964508187,0.892719996,0,0.09,0.09,1,1,2,-4.003762981,-3.338453229,-2.232313003,0,0,0.693147181,-4.605170186,-2.302585093,-2.302585093,-446.16666,40.95452,1932
Amazonia,PGM,PGM_147_5,-47.17504624,-2.939849948,0.25,17.30419146,0.898090199,0.841711609,0.859246137,0.11,0.07,0.08,1,1,1,-2.283667161,-1.84333665,-1.960742567,0,0,0,-2.120263536,-2.525728644,-2.407945609,-461.16666,40.2337,1934
Amazonia,PGM,PGM_147_7,-47.17363595,-2.911831268,0.25,18.79454536,0.981463391,0.983310189,0.950146076,0,0.02,0.08,1,1,1,-3.988007637,-4.092956866,-2.99865807,0,0,0,-4.605170186,-3.506557897,-2.407945609,-447.16666,40.95452,1930
Amazonia,PGM,PGM_147_8,-47.19968338,-2.899650842,0.25,18.99096806,0.982125252,0.987590548,0.91427383,0,0,0.03,1,1,3,-4.024366288,-4.389296839,-2.456597132,0,0,1.098612289,-4.605170186,-4.605170186,-3.218875825,-447.16666,40.12055,1928
Amazonia,PGM,PGM_202_1,-47.38545809,-2.964548975,0.25,14.17208856,0.895848439,0.681112539,0.448266159,0.13,0.12,0.11,1,4,21,-2.261908123,-1.142917025,-0.594689521,0,1.386294361,3.044522438,-1.966112856,-2.040220829,-2.120263536,-474.41666,48.88918,1961
Amazonia,PGM,PGM_202_13,-47.42943088,-2.995101285,0.25,17.51800662,0.632888654,0.43610465,0.313395331,0.25,0.23,0.13,3,4,8,-1.002090082,-0.572886594,-0.375996598,1.098612289,1.386294361,2.079441542,-1.347073648,-1.427116356,-1.966112856,-476.41666,47.98199,1964
Amazonia,PGM,PGM_202_2,-47.37930955,-3.055349663,0.25,7.6370138,0.760833851,0.492248548,0.323966938,0.29,0.18,0.11,1,5,22,-1.430596784,-0.677763219,-0.391513296,0,1.609437912,3.091042453,-1.203972804,-1.660731207,-2.120263536,-488.41666,49.31348,1950
Amazonia,PGM,PGM_235_1,-47.30189582,-3.088808929,0.25,20.43890056,0.315360521,0.161937725,0.101743907,0.28,0.15,0.1,7,8,39,-0.378862887,-0.176662867,-0.10730007,1.945910149,2.079441542,3.663561646,-1.237874356,-1.832581464,-2.207274913,-505.20833,48.74953,1945
Amazonia,PGM,PGM_235_3,-47.34855765,-3.107509167,0.25,11.61174512,0.979833218,0.903498932,0.806286447,0,0.07,0.08,1,1,2,-3.903718484,-2.338201203,-1.641374742,0,0,0.693147181,-4.605170186,-2.525728644,-2.407945609,-497.04166,46.87183,1930
Amazonia,PGM,PGM_245_2,-46.82962279,-3.111905097,0.25,16.3989169,0.983482698,0.988097378,0.989327387,0,0,0.01,1,1,1,-4.103346841,-4.430996567,-4.540074351,0,0,0,-4.605170186,-4.605170186,-3.912023005,-478.37501,40.28309,1898
Amazonia,PGM,PGM_245_4,-46.82833182,-3.126749363,0.25,16.83948716,0.982758639,0.987584903,0.971239647,0,0,0.06,1,1,1,-4.060444073,-4.388842047,-3.548757472,0,0,0,-4.605170186,-4.605170186,-2.659260037,-488.37501,42.13074,1891
Amazonia,PGM,PGM_245_5,-46.81901838,-3.104746959,0.25,22.45678388,0.975945875,0.966489542,0.828806852,0,0.06,0.05,1,1,3,-3.727448779,-3.39589771,-1.764962839,0,0,1.098612289,-4.605170186,-2.659260037,-2.813410717,-478.37501,42.07453,1908
Amazonia,PGM,PGM_245_6,-46.87154277,-3.106102293,0.25,24.75636288,0.980094155,0.918338286,0.644155754,0.03,0.14,0.13,1,3,14,-3.916741872,-2.505170004,-1.033262155,0,1.098612289,2.63905733,-3.218875825,-1.897119985,-1.966112856,-472.25001,43.61503,1899
Amazonia,PGM,PGM_245_8,-46.81591485,-3.122942734,0.25,25.58330072,0.984432938,0.869199786,0.705841391,0.02,0.11,0.11,1,4,15,-4.162598007,-2.034084204,-1.223636171,0,1.386294361,2.708050201,-3.506557897,-2.120263536,-2.120263536,-478.37501,43.06442,1905
Amazonia,PGM,PGM_245_9,-46.83199679,-3.13849307,0.25,21.26874004,0.975498598,0.831253174,0.692002723,0.05,0.12,0.08,1,1,3,-3.709024939,-1.779355758,-1.177664337,0,0,1.098612289,-2.813410717,-2.040220829,-2.407945609,-488.37501,42.39961,1886
Amazonia,PGM,PGM_269_1,-47.60780938,-3.171224878,0.25,21.46200362,0.959982483,0.916382451,0.676737598,0.19,0.18,0.14,1,1,3,-3.218437996,-2.481501865,-1.129290895,0,0,1.098612289,-1.609437912,-1.660731207,-1.897119985,-493.33334,40.68308,1959
Amazonia,PGM,PGM_269_10,-47.63522274,-3.220176693,0.25,19.35690366,0.983718918,0.945099774,0.742632235,0,0.06,0.09,1,2,9,-4.117751459,-2.902237814,-1.357249225,0,0.693147181,2.197224577,-4.605170186,-2.659260037,-2.302585093,-491.33334,44.89676,1942
Amazonia,PGM,PGM_269_11,-47.59245928,-3.249098943,0.25,19.01330288,0.978928881,0.988419531,0.991960951,0,0,0,1,1,1,-3.859851944,-4.458435307,-4.823444486,0,0,0,-4.605170186,-4.605170186,-4.605170186,-493.33334,42.12176,1927
Amazonia,PGM,PGM_269_2,-47.63233608,-3.18976783,0.25,13.4579301,0.951749714,0.79973977,0.703695575,0.09,0.15,0.15,1,2,11,-3.031353524,-1.608137608,-1.21636789,0,0.693147181,2.397895273,-2.302585093,-1.832581464,-1.832581464,-491.33334,41.94152,1944
Amazonia,PGM,PGM_269_4,-47.6194886,-3.222015017,0.25,24.10801882,0.981491677,0.988500757,0.867288784,0,0,0.05,1,1,8,-3.989534756,-4.465474072,-2.01957982,0,0,2.079441542,-4.605170186,-4.605170186,-2.813410717,-493.33334,42.31018,1935
