Binomial_correct,WD,lnSM,LMA,Hmax,DS
Abarema cochleata,0.527228809,4.748332143,70.87172217,10,EndoZoo
Abarema cochliacarpos,0.585,4.748332143,70.08395104,30,EndoZoo
Abarema filamentosa,0.527228809,4.748332143,76.02542357,15,EndoZoo
Abarema jupunba,0.591611653,4.248495242,61.19690296,45,EndoZoo
Abarema mataybifolia,0.63,4.748332143,77.5621232,28,EndoZoo
Abarema piresii,0.527228809,4.748332143,127.8,22.68571429,EndoZoo
Actinostemon appendiculatus,0.766955883,5.940171253,47.21031189,7.627558036,NonZoo
Aegiphila pernambucensis,0.465257492,3.415979036,54.99448569,14.23333333,EndoZoo
Agonandra brasiliensis,0.841905555,7.575461149,77.01393789,22,EndoZoo
Aiouea guianensis,0.502270133,6.370418315,85.25654002,15.29479167,EndoZoo
Aiouea myristicoides,0.502270133,5.768320996,85.25654002,15.29479167,EndoZoo
Aiouea trinervis,0.502270133,5.768320996,85.25654002,15.29479167,EndoZoo
Albizia pedicellaris,0.499459786,3.352407217,110.0110011,40,EndoZoo
Alchornea glandulosa,0.391045177,3.912099681,64.20562072,27,EndoZoo
Alchornea triplinervia,0.437705936,3.450718291,66.6686217,35,EndoZoo
Alchorneopsis floribunda,0.392103014,1.685727768,32.61899293,30,EndoZoo
Alexa grandiflora,0.65,6.812444099,51.45903915,30,NonZoo
Alibertia edulis,0.727402068,2.624396816,79.0849246,10,EndoZoo
Alibertia sorbilis,0.678284036,4.269509495,64.76986896,15.1425,EndoZoo
Allophylus edulis,0.661251429,3.788614581,61.89807483,20,EndoZoo
Allophylus glabratus,0.39,4.158883083,63.97785411,10.2,EndoZoo
Allophylus latifolius,0.558074214,4.605170186,63.97785411,13.71935291,EndoZoo
Alseis,0.603392863,-1.77523017,48.1332842,26.79,NonZoo
Alseis floribunda,0.85,-1.09861229,69.68155531,23,NonZoo
Amaioua glomerulata,0.659968689,2.201659174,63.25818314,10,EndoZoo
Amaioua guianensis,0.6143,2.329152045,81.2902825,15,EndoZoo
Amaioua pilosa,0.646363127,2.262003434,75.34438889,4,EndoZoo
Amanoa guianensis,0.8649925,5.641907071,88.00000286,30,NonZoo
Ambelania acida,0.524516667,3.912023005,107.3982719,13,EndoZoo
Ampelocera edentula,0.671066177,5.679105487,80.36001286,33,EndoZoo
Amphiodon effusus,0.65,6.809774871,61.60823718,17,NonZoo
Amphirrhox longifolia,0.71,-1.897119985,75.52324699,12,NonZoo
Anacardium giganteum,0.448466667,8.116020956,89.57716611,32.65555556,EndoZoo
Anacardium occidentale,0.463705917,8.325265685,128.3866793,10,EndoZoo
Anacardium parvifolium,0.525386216,8.116020956,89.57716611,32.65555556,EndoZoo
Anacardium spruceanum,0.479166667,8.116020956,89.57716611,32.65555556,EndoZoo
Andira legalis,0.746666667,9.118015287,181.2526327,20,SynZoo
Andira marauensis,0.781416115,9.118015287,69.76957775,35,SynZoo
Andira micrantha,1,9.118015287,69.24030027,35,SynZoo
Andira surinamensis,0.7047675,9.118015287,69.76957775,20.12878788,SynZoo
Andira unifoliolata,0.76,9.118015287,56.70000001,20.12878788,SynZoo
Andira vermifuga,0.781416115,9.433483923,69.76957775,25,SynZoo
Aniba burchellii,0.52,7.487377465,74.96824973,23.3,EndoZoo
Aniba canelilla,0.971881217,7.487377465,74.96824973,30,EndoZoo
Aniba guianensis,0.513132338,8.38822281,65.17205423,20,EndoZoo
Aniba hostmanniana,0.631279988,7.487377465,69.58678857,20,EndoZoo
Aniba intermedia,0.589816621,7.487377465,74.96824973,12,EndoZoo
Aniba kappleri,0.589816621,7.487377465,61.50000001,23.3,EndoZoo
Aniba megaphylla,0.589816621,7.487377465,74.96824973,23.3,EndoZoo
Aniba parviflora,0.54,7.487377465,74.96824973,23.3,EndoZoo
Aniba riparia,0.524757415,7.56112159,55.63901406,16,EndoZoo
Aniba rosaeodora,0.738579365,7.487377465,74.96824973,23.3,EndoZoo
Aniba williamsii,0.637503886,7.487377465,74.96824973,23.3,EndoZoo
Anisophyllea manausensis,0.86,5.799092654,39.82001355,8.1,SynZoo
Annona ambotay,0.642132543,5.469746482,45.60795404,15,EndoZoo
Annona bahiensis,0.482552865,5.614654201,55.90927216,13.14031746,EndoZoo
Annona cacans,0.50775,5.518908916,90.23663224,13.14031746,EndoZoo
Annona densicoma,0.482552865,5.614654201,70.5434979,20,EndoZoo
Annona dolabripetala,0.386666667,5.614654201,55.90927216,13.14031746,EndoZoo
Annona exsucca,0.37471,5.614654201,91.46577769,15,EndoZoo
Annona glabra,0.545,5.198828468,82.60598082,13.14031746,EndoZoo
Annona leptopetala,0.482552865,5.614654201,60.54239528,13.14031746,EndoZoo
Annona muricata,0.36,6.071389479,55.90927216,13.14031746,EndoZoo
Annona neoinsignis,0.425,5.614654201,87.41818864,13.14031746,EndoZoo
Annona paludosa,0.482552865,5.614654201,55.90927216,7,EndoZoo
Annona salzmannii,0.46425,7.264430223,84.64195731,13.14031746,EndoZoo
Annona sylvatica,0.454805725,5.347107531,55.90927216,25,EndoZoo
Annona tenuipes,0.482552865,5.614654201,55.90927216,13.14031746,EndoZoo
Anomalocalyx uleanus,0.37249152,4.948841033,128.0704797,28,NonZoo
Aparisthmium cordatum,0.42498911,3.520257379,44.57505216,25,EndoZoo
Apeiba albiflora,0.245436,1.76439541,59.91692839,25,EndoZoo
Apeiba echinata,0.321075991,2.94020635,70.2216363,36,EndoZoo
Apeiba glabra,0.32,2.653241965,64.10770394,30,EndoZoo
Apeiba tibourbou,0.23760624,1.76439541,53.75787205,25,EndoZoo
Aptandra tubicina,0.7326126,9.630299926,51.94265533,20,SynZoo
Apuleia leiocarpa,0.81310131,4.169901258,43.9337433,42,NonZoo
Arapatiella psilophylla,0.872111111,8.314252347,152.3454592,35,NonZoo
Artocarpus heterophyllus,0.528903028,9.216521231,91.80744357,25,EndoZoo
Aspidosperma album,0.766153611,5.968054969,161.4204467,24.49027778,NonZoo
Aspidosperma araracanga,0.75,5.968054969,84.30946742,24.49027778,NonZoo
Aspidosperma auriculatum,0.763555745,5.968054969,84.30946742,24.49027778,NonZoo
Aspidosperma carapanauba,0.763555745,5.968054969,84.30946742,24.49027778,NonZoo
Aspidosperma desmanthum,0.705309628,6.769641977,107.6586063,40,NonZoo
Aspidosperma discolor,0.759,5.11599781,80.90599159,45,NonZoo
Aspidosperma eteanum,0.763555745,5.968054969,84.30946742,24.49027778,NonZoo
Aspidosperma excelsum,0.752504138,5.968054969,83.00132803,39,NonZoo
Aspidosperma parvifolium,0.749685503,5.298317367,67.49587089,32,NonZoo
Aspidosperma sandwithianum,0.79212,5.968054969,84.30946742,24.49027778,NonZoo
Aspidosperma spruceanum,0.756067745,6.072571304,85.19938078,60,NonZoo
Astronium concinnum,1.0085,3.314546842,69.60321174,45,NonZoo
Astronium graveolens,0.792282968,3.525206166,62.57177495,40,NonZoo
Astronium lecointei,0.790323334,4.269847089,57.48791995,42,NonZoo
Bagassa guianensis,0.70595,1.386294361,67.00167506,50,EndoZoo
Banara brasiliensis,0.654291501,-0.223143551,40.32497992,21.0915,EndoZoo
Banara guianensis,0.571604726,-0.223143551,68.39945283,15,EndoZoo
Bathysa nicholsonii,0.494489205,-1.100693454,112.3733728,7,NonZoo
Batocarpus amazonicus,0.532861766,6.476972363,53.63727792,30.1,EndoZoo
Bauhinia acreana,0.642253049,4.605170186,19.40688851,12,NonZoo
Bauhinia forficata,0.62,4.311073588,39.428508,21,NonZoo
Bauhinia longicuspis,0.642253049,5.640243954,52.51292596,12.33333333,NonZoo
Bauhinia platypetala,0.642253049,5.640243954,52.51292596,12.33333333,NonZoo
Bauhinia ungulata,0.79115067,3.853121898,37.07713343,9,NonZoo
Beilschmiedia curviramea,0.542215,8.430789048,84.6412321,18.12727273,EndoZoo
Bellucia dichotoma,0.54,-2.216407397,193.4,14.25,EndoZoo
Bellucia grossularioides,0.61875,-1.609437912,158.6293546,25,EndoZoo
Bertholletia excelsa,0.630988264,8.809862805,112.6739919,50,SynZoo
Bixa arborea,0.370964286,2.813410717,63.63483986,28,EndoZoo
Bixa excelsa,0.32,3.043011773,61.55539653,24,EndoZoo
Bocageopsis multiflora,0.640253059,5.192956851,74.85029941,29,EndoZoo
Bocoa viridiflora,0.835,8.752523869,90.59999999,35,EndoZoo
Bowdichia nitida,0.803333333,4.258003467,133.4392701,45,NonZoo
Bowdichia virgilioides,0.89075,4.74090228,110.6673159,36,NonZoo
Brosimum acutifolium,0.640298572,7.966817912,55.44774052,35,EndoZoo
Brosimum guianense,0.809746905,6.4449953,61.80508397,30,EndoZoo
Brosimum lactescens,0.652742937,6.607663186,86.08040583,35,EndoZoo
Brosimum paraense,0.82,6.429719478,102.6483269,40,EndoZoo
Brosimum parinarioides,0.630650151,7.154789201,99.9221735,40,EndoZoo
Brosimum potabile,0.5425,7.121090889,112.9,35.00505051,EndoZoo
Brosimum rubescens,0.821696697,6.429719478,102.648607,40,EndoZoo
Buchenavia congesta,0.725161441,6.703433482,63.82028209,40,EndoZoo
Buchenavia grandis,0.7725,6.549293024,34.96870302,40,EndoZoo
Buchenavia guianensis,0.725161441,6.870414124,50.80717374,23.66666667,EndoZoo
Buchenavia macrophylla,0.725161441,6.870414124,52.4218914,30,EndoZoo
Buchenavia parvifolia,0.772048998,5.743403749,23.9314603,20,EndoZoo
Buchenavia reticulata,0.725161441,6.870414124,50.80717374,23.66666667,EndoZoo
Buchenavia tetraphylla,0.626652841,6.373388047,74.48895817,23.66666667,EndoZoo
Byrsonima aerugo,0.62857,6.779921907,80.70405888,13.86255556,EndoZoo
Byrsonima chrysophylla,0.629983111,6.063785209,80.70405888,13.86255556,EndoZoo
Byrsonima crispa,0.58,5.751431757,44.64285714,25,EndoZoo
Byrsonima densa,0.62,5.751431757,80.70405888,20,EndoZoo
Byrsonima fanshawei,0.629983111,5.751431757,80.70405888,13.86255556,EndoZoo
Byrsonima sericea,0.771666667,4.979647266,126.9841269,27,EndoZoo
Byrsonima stipulacea,0.725175833,6.502290171,80.70405888,30,EndoZoo
Cabralea canjerana,0.516694294,6.405468944,68.88608477,6,EndoZoo
Calliandra surinamensis,0.842613225,3.828641396,129.2,5,NonZoo
Callisthene major,0.7414375,6.377126778,100,20,NonZoo
Calophyllum brasiliense,0.581549509,8.145898723,88.86735333,40,EndoZoo
Calycolpus goetheanus,0.8,7.575461149,89.8896518,25,EndoZoo
Calyptranthes bipennis,0.734856025,4.333129152,52.30946276,13.33333333,EndoZoo
Calyptranthes clusiifolia,0.703166667,4.290361496,115.7770646,24,EndoZoo
Calyptranthes glazioviana,0.734856025,6.537477295,80.35999261,13.33333333,EndoZoo
Calyptranthes lucida,0.777643495,6.537477295,96.24687816,27,EndoZoo
Calyptranthes speciosa,0.86,6.112944445,80.17960229,13.33333333,EndoZoo
Campomanesia aromatica,0.778797094,4.156762746,149,11.81003523,EndoZoo
Campomanesia dichotoma,0.82,3.324236341,58.31956332,20,EndoZoo
Campomanesia grandiflora,0.73,4.156762746,58.31956332,11.81003523,EndoZoo
Campomanesia guazumifolia,0.64,3.782793343,63.65777577,27,EndoZoo
Campomanesia laurifolia,0.76,4.156762746,58.31956332,20,EndoZoo
Campsiandra laurifolia,0.838225511,3.828641396,104.0384176,30,NonZoo
Candolleodendron brachystachyum,0.340475,5.935601177,44.64285714,19.95401965,EndoZoo
Capirona decorticans,0.590712242,8.325265685,61.83909465,40,NonZoo
Capparidastrum macrophyllum,0.603689179,4.86753445,66.44688469,12.4,EndoZoo
Caraipa densifolia,0.677497729,4.7113924,66.13935794,30,NonZoo
Carapa guianensis,0.53,9.570023287,62.05092972,35,SynZoo
Cariniana micrantha,0.5866,5.135798437,151.5,52,NonZoo
Carpotroche brasiliensis,0.45,6.489044944,72.78652893,20,EndoZoo
Caryocar edule,0.722337814,9.105980357,92.36389837,35,SynZoo
Caryocar glabrum,0.665670089,8.945853857,61.98656475,48,SynZoo
Caryocar villosum,0.7579375,8.732304571,113.4024349,50,SynZoo
Casearia,0.669222229,4.756852714,47.65810256,15.51696817,EndoZoo
Casearia arborea,0.574507823,0.223143551,51.11153236,24,EndoZoo
Casearia bahiensis,0.669222229,4.756852714,47.65810256,19.5,EndoZoo
Casearia combaymensis,0.669222229,6.501164538,23.71185355,20,EndoZoo
Casearia commersoniana,0.646090824,2.747547318,65.19703373,15,EndoZoo
Casearia decandra,0.655863818,3.951018652,51.65779666,31,EndoZoo
Casearia grandiflora,0.77,0.405465108,78.10000001,27,EndoZoo
Casearia javitensis,0.740875,3.492458973,76.87583063,18,EndoZoo
Casearia manausensis,0.669222229,4.756852714,47.65810256,15.51696817,EndoZoo
Casearia sylvestris,0.659754899,1.441050893,67.93432584,34,EndoZoo
Casearia ulmifolia,0.61125,4.756852714,25.60688314,26,EndoZoo
Cassia fastuosa,0.805,5.298317367,72.14158071,20,EndoZoo
Cassia ferruginea,0.752541667,4.500526955,76.94200506,26,NonZoo
Cassia leiandra,0.61992,4.941787044,72.14158071,15,EndoZoo
Cassipourea guianensis,0.765071023,3.989866373,78.20913417,25,SynZoo
Cathedra acuminata,0.800614655,6.929571129,74.68259893,30,EndoZoo
Catostemma albuquerquei,0.69,8.356636609,91.02941527,32.33333333,EndoZoo
Cecropia distachya,0.384,1.609437912,126.813103,25,EndoZoo
Cecropia hololeuca,0.410777778,0.720546155,112.5874126,28,EndoZoo
Cecropia obtusa,0.31,-2.072949326,110.2547381,26,EndoZoo
Cecropia pachystachya,0.37725,1.813459805,78.95003571,26,EndoZoo
Cecropia palmata,0.228,1.098612289,67.98549904,30,EndoZoo
Cecropia purpurascens,0.265,0.354820944,144.8999999,7,EndoZoo
Cecropia sciadophylla,0.355964764,0.338910452,89.34305513,30,EndoZoo
Cedrela,0.410074047,3.762882885,54.35827506,32.40912684,NonZoo
Cedrela odorata,0.455040074,2.902321237,48.86345868,35,NonZoo
Ceiba pentandra,0.296640621,3.939237367,51.94560295,60,NonZoo
Cespedesia spathulata,0.604367368,-1.987774353,101.010101,35,NonZoo
Chaetocarpus myrsinites,0.777438322,4.368181228,91.98251963,18,EndoZoo
Chamaecrista apoucouita,0.92355,5.075173815,59.44082364,30,NonZoo
Chamaecrista bahiae,0.870850943,2.252492831,59.44082364,15.87808824,EndoZoo
Chamaecrista duartei,0.870850943,2.252492831,59.44082364,28.5,NonZoo
Chamaecrista ensiformis,0.924,2.252492831,67.60773773,20,NonZoo
Chamaecrista scleroxylon,0.955,2.252492831,67.1,30,EndoZoo
Chamaecrista xinguensis,0.9,2.252492831,58.93930768,15.87808824,EndoZoo
Chaunochiton kappleri,0.5219,4.593097605,97.2612071,40,NonZoo
Cheiloclinium cognatum,0.75375,8.16896816,75.79033326,15,EndoZoo
Chimarrhis barbata,0.669924571,5.170483995,73.90563546,32.5,NonZoo
Chimarrhis turbinata,0.72,5.170483995,86.70106973,25,NonZoo
Chrysophyllum,0.739401882,7.939733817,70.93119814,24.02877778,EndoZoo
Chrysophyllum cuneifolium,0.929245,7.07530155,47.65620638,20,EndoZoo
Chrysophyllum gonocarpum,0.6926,7.469611413,76.81211537,25,EndoZoo
Chrysophyllum lucentifolium,0.782444444,6.907755279,97.91739401,33,EndoZoo
Chrysophyllum pomiferum,0.765991667,6.214608098,70.93119814,34,EndoZoo
Chrysophyllum prieurii,0.861387,5.904599159,143.8691683,33,EndoZoo
Chrysophyllum sanguinolentum,0.671418932,6.29156914,114.7111369,36,EndoZoo
Chrysophyllum sparsiflorum,0.739401882,7.939733817,70.93119814,24.02877778,EndoZoo
Chrysophyllum splendens,0.775,6.032286542,70.93119814,25,EndoZoo
Chrysophyllum viride,0.698214321,7.194812156,88.21426185,30,EndoZoo
Citharexylum myrianthum,0.533333333,4.35465086,86.50241711,24,EndoZoo
Clarisia biflora,0.487817724,7.408227491,60.41108158,40,EndoZoo
Clarisia ilicifolia,0.626,6.309918278,149.1,20,EndoZoo
Clarisia racemosa,0.581769256,7.45736883,59.99604192,42,EndoZoo
Clarisia tomentosa,0.567122472,7.234678096,73.08683311,30.71666667,EndoZoo
Clavija lancifolia,0.798578387,5.064630302,94.86796018,7,EndoZoo
Clitoria fairchildiana,0.68,6.201035217,50.38996227,7.480083333,NonZoo
Clusia grandiflora,0.714127688,2.2300144,190.0057002,10,EndoZoo
Clusia nemorosa,0.8,3.448288989,130.3656025,26,EndoZoo
Coccoloba,0.719200803,4.70340401,62.27332662,18.87,EndoZoo
Coccoloba alnifolia,0.83,4.70340401,104.3886148,20,EndoZoo
Coccoloba bullata,0.719200803,4.70340401,62.27332662,18.87,EndoZoo
Coccoloba latifolia,0.58,4.70340401,62.27332662,18.87,EndoZoo
Coccoloba mollis,0.67575,5.573586406,37.74622244,15,EndoZoo
Coccoloba rosea,0.95,4.70340401,132.4999999,18,EndoZoo
Cochlospermum orinocense,0.223895,3.483483724,56.69829382,28,NonZoo
Colubrina glandulosa,0.704568216,3.001752804,71.37272489,26.8,NonZoo
Conceveiba guianensis,0.54334,5.705788461,110.0839603,20,EndoZoo
Copaifera duckei,0.626533333,6.453405638,78.00173492,35,EndoZoo
Copaifera langsdorffii,0.680902898,5.969996584,85.19737189,35,EndoZoo
Copaifera martii,0.650956964,6.453405638,164.6,40,EndoZoo
Copaifera multijuga,0.622333333,6.453405638,87.12930468,60,EndoZoo
Copaifera reticulata,0.60575,6.453405638,59.09437865,30,EndoZoo
Copaifera trapezifolia,0.674125,7.173031152,72.20425098,33,EndoZoo
Cordia alliodora,0.461090505,2.547981378,60.71148704,35,NonZoo
Cordia bicolor,0.456107866,4.200520995,113.033696,27,EndoZoo
Cordia ecalyculata,0.80125,5.467173933,87.58369671,22,EndoZoo
Cordia exaltata,0.39866875,5.541795484,92.4127803,24,EndoZoo
Cordia goeldiana,0.498,5.541795484,63.76425775,30,EndoZoo
Cordia lomatoloba,0.41,5.355996478,63.76425775,25,EndoZoo
Cordia membranacea,0.526586424,5.541795484,63.76425775,14.89548611,EndoZoo
Cordia scabrifolia,0.474,5.541795484,104.3,40,EndoZoo
Cordia sellowiana,0.637232459,5.734538798,91.00846817,10,EndoZoo
Cordia taguahyensis,0.688402162,4.912654886,55.45570683,22.5,EndoZoo
Cordia tetrandra,0.345,5.541795484,63.76425775,14.89548611,EndoZoo
Cordia toqueve,0.526586424,2.592265168,63.76425775,18.5,EndoZoo
Cordiera myrciifolia,0.728336728,3.784168927,112.4288693,19,EndoZoo
Corythophora alta,0.713764729,5.953493303,118.0562975,25,NonZoo
Couepia belemii,0.823145902,8.444720236,89.78458362,32,SynZoo
Couepia bracteosa,0.77,8.444720236,172.2249989,28,SynZoo
Couepia guianensis,0.755188294,8.517193191,88.06732158,30,SynZoo
Couepia impressa,0.823145902,8.444720236,89.78458362,21,SynZoo
Couepia monteclarensis,0.823145902,8.444720236,89.78458362,10,SynZoo
Couepia robusta,0.83,8.444720236,89.78458362,22.50320513,SynZoo
Couepia rufa,0.982,8.444720236,89.78458362,30,SynZoo
Couma guianensis,0.46670873,3.912023005,82.00081998,25,EndoZoo
Couratari guianensis,0.500758333,5.463831805,59.66825435,50,NonZoo
Couratari oblongifolia,0.505,4.663439094,80.96027838,40,NonZoo
Couratari stellata,0.633159286,4.672828834,100.2172232,45,NonZoo
Couratari tauari,0.554966813,5.757596357,90.11660997,40.17857143,NonZoo
Coussapoa pachyphylla,0.480711685,1.070110789,106.622645,35,EndoZoo
Coussapoa villosa,0.39,1.486139696,94.11946296,35,EndoZoo
Coussarea,0.559991329,5.680534873,48.93717174,7.325,EndoZoo
Coussarea albescens,0.65,5.680534873,58.7984694,10,EndoZoo
Coussarea contracta,0.545833333,6.396929655,63.62942223,21,EndoZoo
Coussarea paniculata,0.65,5.17598955,48.93717174,12,EndoZoo
Croton floribundus,0.56,3.632286232,74.67512365,30,NonZoo
Croton glandulosus,0.487772166,1.994700313,62.79999997,11.80072673,EndoZoo
Croton macrobothrys,0.363686931,4.728888636,53.69411698,35,NonZoo
Croton matourensis,0.465500555,2.667228207,111.1,26.5,EndoZoo
Crudia aequalis,0.837552467,8.937875265,51.77734068,35,NonZoo
Crudia oblonga,0.837552467,8.937875265,62.25631755,10,NonZoo
Cryptocarya mandioccana,0.62,7.304784908,104.0474456,24,EndoZoo
Cupania,0.643111259,5.66875453,77.84802137,16.48047544,EndoZoo
Cupania diphylla,0.643111259,5.66875453,77.84802137,14,EndoZoo
Cupania hirsuta,0.643111259,5.501258211,77.84802137,15,EndoZoo
Cupania impressinervia,0.58,5.66875453,88.36537576,12,EndoZoo
Cupania oblongifolia,0.637916667,7.003065459,59.20000001,30,EndoZoo
Cupania racemosa,0.610125,6.645391014,93.30000001,24.5,EndoZoo
Cupania scrobiculata,0.6595,5.010635294,80.63799666,26,EndoZoo
Cupania tenuivalvis,0.74,5.66875453,94.82265647,12,EndoZoo
Cupania vernalis,0.642392593,5.45746696,93.16214522,24,EndoZoo
Cynometra bauhiniaefolia,0.6801818,8.537975731,75.28306431,28.75,SynZoo
Cynometra marginata,0.808908829,8.537975731,81.64427274,28.75,SynZoo
Cynophalla flexuosa,0.67,4.204776198,215.1922333,12,EndoZoo
Deguelia spruceana,0.67,5.203007187,67.99999999,10,NonZoo
Dendrobangia boliviana,0.635270834,5.565372917,56.67970301,40,EndoZoo
Dialium guianense,0.852447742,5.582399216,58.69825312,40,EndoZoo
Dilodendron bipinnatum,0.617251119,6.101280373,66.01566214,20,EndoZoo
Dimorphandra multiflora,0.770207988,5.66930662,92.46598554,21,EndoZoo
Dimorphandra parviflora,1,5.66930662,96.60000007,21,EndoZoo
Dinizia excelsa,0.92237875,5.298317367,86.28127699,60,NonZoo
Diospyros capreifolia,0.73,6.085637717,84.91133759,15,EndoZoo
Diospyros carbonaria,0.7,6.403802885,120.0048002,17,EndoZoo
Diospyros guianensis,0.73,6.403802885,93.45690005,25,EndoZoo
Diospyros sericea,0.657977613,6.403802885,93.45690005,25,EndoZoo
Diospyros vestita,0.657977613,6.403802885,127.9724283,10.74179277,EndoZoo
Diploon cuspidatum,0.85,7.60090246,65.32105296,32,EndoZoo
Diplotropis martiusii,0.633333333,5.215841145,60.40552214,23.5,NonZoo
Diplotropis purpurea,0.773209871,5.075173815,62.63603766,30.5,NonZoo
Dipteryx magnifica,0.880974009,8.215566268,91.76799569,36.81888889,SynZoo
Dipteryx odorata,0.964299738,8.709465079,67.8,50,SynZoo
Dodecastigma integrifolium,0.613,5.968054969,126.5702135,15,EndoZoo
